Sample Name	Protocol REF	Parameter Value[Post Extraction]	Term Source REF	Term Accession Number	Parameter Value[Derivatization]	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Term Source REF	Term Accession Number	Parameter Value[Column type]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Term Source REF	Term Accession Number	Parameter Value[Scan m/z range]	Term Source REF	Term Accession Number	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
SD-B00182	Extraction	isopropanol			none			SD-B00182	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00182	FILES/SD-B00182.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00333	Extraction	isopropanol			none			SD-B00333	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00333	FILES/SD-B00333.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00400	Extraction	isopropanol			none			SD-B00400	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00400	FILES/SD-B00400.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00043	Extraction	isopropanol			none			SD-B00043	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00043	FILES/SD-B00043.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00403	Extraction	isopropanol			none			SD-B00403	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00403	FILES/SD-B00403.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00044	Extraction	isopropanol			none			SD-B00044	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00044	FILES/SD-B00044.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00014	Extraction	isopropanol			none			SD-B00014	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00014	FILES/SD-B00014.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00375	Extraction	isopropanol			none			SD-B00375	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00375	FILES/SD-B00375.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00029	Extraction	isopropanol			none			SD-B00029	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00029	FILES/SD-B00029.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00341	Extraction	isopropanol			none			SD-B00341	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00341	FILES/SD-B00341.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150418QC_POS_13	Extraction	isopropanol			none			20150418QC_POS_13	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150418QC_POS_13	FILES/20150418QC_POS_13.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00226	Extraction	isopropanol			none			SD-B00226	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00226	FILES/SD-B00226.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00423	Extraction	isopropanol			none			SD-B00423	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00423	FILES/SD-B00423.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00085	Extraction	isopropanol			none			SD-B00085	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00085	FILES/SD-B00085.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00419	Extraction	isopropanol			none			SD-B00419	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00419	FILES/SD-B00419.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00281	Extraction	isopropanol			none			SD-B00281	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00281	FILES/SD-B00281.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00158	Extraction	isopropanol			none			SD-B00158	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00158	FILES/SD-B00158.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00315	Extraction	isopropanol			none			SD-B00315	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00315	FILES/SD-B00315.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00041	Extraction	isopropanol			none			SD-B00041	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00041	FILES/SD-B00041.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00030	Extraction	isopropanol			none			SD-B00030	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00030	FILES/SD-B00030.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00413	Extraction	isopropanol			none			SD-B00413	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00413	FILES/SD-B00413.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150418QC_POS_15	Extraction	isopropanol			none			20150418QC_POS_15	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150418QC_POS_15	FILES/20150418QC_POS_15.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00312	Extraction	isopropanol			none			SD-B00312	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00312	FILES/SD-B00312.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00361	Extraction	isopropanol			none			SD-B00361	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00361	FILES/SD-B00361.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00067	Extraction	isopropanol			none			SD-B00067	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00067	FILES/SD-B00067.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00307	Extraction	isopropanol			none			SD-B00307	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00307	FILES/SD-B00307.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00157	Extraction	isopropanol			none			SD-B00157	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00157	FILES/SD-B00157.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00201	Extraction	isopropanol			none			SD-B00201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00201	FILES/SD-B00201.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00285	Extraction	isopropanol			none			SD-B00285	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00285	FILES/SD-B00285.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00326	Extraction	isopropanol			none			SD-B00326	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00326	FILES/SD-B00326.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00086	Extraction	isopropanol			none			SD-B00086	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00086	FILES/SD-B00086.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00217	Extraction	isopropanol			none			SD-B00217	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00217	FILES/SD-B00217.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150418QC_POS_16	Extraction	isopropanol			none			20150418QC_POS_16	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150418QC_POS_16	FILES/20150418QC_POS_16.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150418QC_POS_17	Extraction	isopropanol			none			20150418QC_POS_17	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150418QC_POS_17	FILES/20150418QC_POS_17.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150419QC_POS_6	Extraction	isopropanol			none			20150419QC_POS_6	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150419QC_POS_6	FILES/20150419QC_POS_6.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150419QC_POS_7	Extraction	isopropanol			none			20150419QC_POS_7	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150419QC_POS_7	FILES/20150419QC_POS_7.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150419QC_POS_8	Extraction	isopropanol			none			20150419QC_POS_8	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150419QC_POS_8	FILES/20150419QC_POS_8.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150419QC_POS_9	Extraction	isopropanol			none			20150419QC_POS_9	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150419QC_POS_9	FILES/20150419QC_POS_9.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150419QC_POS_10	Extraction	isopropanol			none			20150419QC_POS_10	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150419QC_POS_10	FILES/20150419QC_POS_10.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00047	Extraction	isopropanol			none			SD-B00047	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00047	FILES/SD-B00047.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00289	Extraction	isopropanol			none			SD-B00289	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00289	FILES/SD-B00289.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00297	Extraction	isopropanol			none			SD-B00297	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00297	FILES/SD-B00297.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00398	Extraction	isopropanol			none			SD-B00398	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00398	FILES/SD-B00398.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00366	Extraction	isopropanol			none			SD-B00366	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00366	FILES/SD-B00366.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00243	Extraction	isopropanol			none			SD-B00243	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00243	FILES/SD-B00243.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00007	Extraction	isopropanol			none			SD-B00007	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00007	FILES/SD-B00007.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
